post_tax_coef,scenario,draw
0.0025779805640183005,1,1
0.0006156055357447591,2,1
0.0032653619533228096,1,2
0.0008822877335042643,2,2
-0.0001318438944440894,1,3
-0.00046635019444880616,2,3
0.0033835787118720213,1,4
0.0010874757207749856,2,4
0.0022659514553895806,1,5
0.00017514359957769083,2,5
0.001905987972117569,1,6
0.0009677006760407529,2,6
0.00479882769132193,1,7
0.001594677827876924,2,7
0.0013333887152275348,1,8
0.0002798976348930146,2,8
-0.0006410207173854553,1,9
-0.001165293884327474,2,9
0.002563975370283865,1,10
0.0006886560081928836,2,10
0.003567923876420102,1,11
0.001293336480188707,2,11
-0.000493711135676026,1,12
-0.0007448539107881107,2,12
0.003819856504691042,1,13
0.0009831651721863028,2,13
0.0002459017059780915,1,14
-0.00094253634755998,2,14
0.0011387267881008238,1,15
0.00013245481461050126,2,15
0.004430314755403283,1,16
0.00136832102062177,2,16
0.002327199278670907,1,17
0.0007450325392553461,2,17
0.0025938139466108773,1,18
0.0009444162630674033,2,18
0.005544015745520204,1,19
0.0019141046890044006,2,19
-0.0010142947216510738,1,20
-0.0010398762626186316,2,20
0.0015984679297642425,1,21
0.0005770771635196395,2,21
0.001239970784236979,1,22
-2.230370875324758e-05,2,22
-0.00011237909841612902,1,23
-0.00045306356858928196,2,23
0.005862152686548173,1,24
0.002164133006541096,2,24
-0.0004059250991533902,1,25
-0.00047370035478298903,2,25
-0.0005384495166236514,1,26
-0.0006291121694895036,2,26
0.003074426308577154,1,27
0.0014174678379191702,2,27
0.0006110891976205278,1,28
-0.00047993404395120894,2,28
0.0001546266691896742,1,29
-0.0006898156767019512,2,29
0.0020299682054637086,1,30
0.00042386092170936153,2,30
-0.00011046610427412614,1,31
-0.0004321216743906615,2,31
0.0028367627476422685,1,32
0.0007739562316179803,2,32
0.0014935951003504323,1,33
0.00045279874729151146,2,33
-0.0004285956809558565,1,34
-9.930846463155852e-05,2,34
0.004108537602645866,1,35
0.0015077105482625582,2,35
0.007136584613715772,1,36
0.0025849517427428727,2,36
-0.003326276868611233,1,37
-0.0024371569894499727,2,37
0.0029573016441571103,1,38
0.0008674335583456342,2,38
0.004982853682021037,1,39
0.001169176219080064,2,39
0.005372442583580137,1,40
0.0024903787035141893,2,40
0.0014359506756204312,1,41
0.00040955397563274023,2,41
0.0013599940228454786,1,42
0.00019332768876965375,2,42
