post_coef,scenario,draw
2.718381948120047e-10,1,81
2.7183821357632557e-10,2,81
2.718382147545484e-10,1,82
2.7183821930713873e-10,2,82
2.718382115434465e-10,1,83
2.718382059293121e-10,2,83
2.7183821611477743e-10,1,84
2.718382095466722e-10,2,84
2.718382235831728e-10,1,85
2.7183821612589474e-10,2,85
2.718382227882324e-10,1,86
2.718382202162102e-10,2,86
2.718382182849817e-10,1,87
2.7183821723974306e-10,2,87
2.7183821671797077e-10,1,88
2.7183821446316906e-10,2,88
2.718382260291922e-10,1,89
2.718382181576621e-10,2,89
2.7183822047879705e-10,1,90
2.7183821992367283e-10,2,90
2.718382100831617e-10,1,91
2.718382212902546e-10,2,91
2.7183822345611786e-10,1,92
2.7183821701062065e-10,2,92
2.7183822513705475e-10,1,93
2.718382196283495e-10,2,93
2.718382201357487e-10,1,94
2.718382234194837e-10,2,94
2.71838225741201e-10,1,95
2.718382126289192e-10,2,95
2.718382243230561e-10,1,96
2.7183821481924054e-10,2,96
2.7183820449782644e-10,1,97
2.7183822058975837e-10,2,97
2.718382166239501e-10,1,98
2.7183821876641407e-10,2,98
2.71838229115145e-10,1,99
2.718382093174439e-10,2,99
2.718382296369173e-10,1,100
2.718382071778387e-10,2,100
2.71838218883834e-10,1,101
2.718382234112251e-10,2,101
2.71838218356556e-10,1,102
2.7183822179000405e-10,2,102
2.7183823681975667e-10,1,103
2.718382236162071e-10,2,103
2.7183820468586775e-10,1,104
2.718382183798494e-10,2,104
2.71838223896575e-10,1,105
2.718382166475744e-10,2,105
2.7183822802120193e-10,1,106
2.7183822264688376e-10,2,106
2.718382103533652e-10,1,107
2.718382191976597e-10,2,107
2.7183822089807836e-10,1,108
2.718382162872545e-10,2,108
2.7183822738635074e-10,1,109
2.71838217777609e-10,2,109
2.718382231020581e-10,1,110
2.7183822185946076e-10,2,110
2.718382175768622e-10,1,111
2.718382243448672e-10,2,111
2.718382015742922e-10,1,112
2.718382021778032e-10,2,112
2.7183823180362756e-10,1,113
2.7183821463299917e-10,2,113
2.7183821349670447e-10,1,114
2.7183821920358895e-10,2,114
2.718382231410216e-10,1,115
2.718382179707325e-10,2,115
2.718382287475327e-10,1,116
2.7183823151605987e-10,2,116
2.718382343066099e-10,1,117
2.718382144072649e-10,2,117
2.7183821291225173e-10,1,118
2.718382187135804e-10,2,118
2.7183822676208746e-10,1,119
2.718382207879641e-10,2,119
2.7183822191028273e-10,1,120
2.718382124328311e-10,2,120
2.71838225336531e-10,1,121
2.718382271923802e-10,2,121
2.7183822183256746e-10,1,122
2.7183822038525285e-10,2,122
2.718382186809696e-10,1,123
2.718382159293831e-10,2,123
2.718382202568744e-10,1,124
2.7183821723211977e-10,2,124
2.7183823935407925e-10,1,125
2.71838219551296e-10,2,125
2.7183823118359944e-10,1,126
2.7183821777167975e-10,2,126
2.7183820662387913e-10,1,127
2.71838222932228e-10,2,127
2.718382120118557e-10,1,128
2.7183822102852144e-10,2,128
2.7183822418117807e-10,1,129
2.7183821620805693e-10,2,129
2.718382168420611e-10,1,130
2.7183822288934694e-10,2,130
2.7183824407120573e-10,1,131
2.718382157371066e-10,2,131
2.7183821303083635e-10,1,132
2.718382013375465e-10,2,132
2.7183821452415543e-10,1,133
2.71838199601976e-10,2,133
2.7183822099548715e-10,1,134
2.718382234529415e-10,2,134
2.718382216375381e-10,1,135
2.7183822310417567e-10,2,135
2.7183822410325103e-10,1,136
2.7183821701824395e-10,2,136
2.718382189111508e-10,1,137
2.7183821686662505e-10,2,137
2.7183822176925175e-10,1,138
2.718382180086372e-10,2,138
2.7183823437183145e-10,1,139
2.718382211691289e-10,2,139
2.7183822080744584e-10,1,140
2.718382252408163e-10,2,140
2.718382219145179e-10,1,141
2.7183822237657437e-10,2,141
2.7183821684121406e-10,1,142
2.718382162687786e-10,2,142
2.718382161170009e-10,1,143
2.71838216980551e-10,2,143
2.718382202644977e-10,1,144
2.718382123997968e-10,2,144
2.7183821520104064e-10,1,145
2.7183822191396203e-10,2,145
2.7183822066027386e-10,1,146
2.718382224265758e-10,2,146
2.7183821785490074e-10,1,147
2.7183822072729534e-10,2,147
2.7183822032611936e-10,1,148
2.7183822040023475e-10,2,148
2.7183822248965327e-10,1,149
2.7183821629456017e-10,2,149
2.7183822261459063e-10,1,150
2.718382298529107e-10,2,150
2.718382155571121e-10,1,151
2.718382173859621e-10,2,151
2.71838213594325e-10,1,152
2.718382173390577e-10,2,152
2.718382091683661e-10,1,153
2.718382171533457e-10,2,153
2.7183821462241126e-10,1,154
2.7183821391662105e-10,2,154
2.7183821640965077e-10,1,155
2.7183821886689335e-10,2,155
2.718382182787878e-10,1,156
2.718382181092224e-10,2,156
2.718382317273946e-10,1,157
2.718382197236672e-10,2,157
2.7183821680098e-10,1,158
2.718382257147312e-10,2,158
2.7183821627539605e-10,1,159
2.7183821772149305e-10,2,159
2.7183821649943627e-10,1,160
2.718382158254098e-10,2,160
2.7183822598387593e-10,1,161
