term,coef,scenario,run
post_g3,0.013808493778372503,1,11
post_g4,-0.032170604105564035,1,11
post_g5,0.1790857125695159,1,11
post_g6,-0.122006123704171,1,11
post_g1,-0.02421139309301302,2,11
post_g2,-0.020402468753318814,2,11
post_g3,0.008835097891259754,2,11
post_g4,-0.036448596286910016,2,11
post_g5,0.19645913789307135,2,11
post_g6,-0.12363576174866156,2,11
post_g1,-0.01825871346818498,1,12
post_g2,-0.02139314888187474,1,12
post_g3,0.010769099104089172,1,12
post_g4,-0.03239794065096595,1,12
post_g5,0.18555086141948168,1,12
post_g6,-0.12153280719428884,1,12
post_g1,-0.02139406676375279,2,12
post_g2,-0.0216739673487559,2,12
post_g3,0.012246048222032676,2,12
post_g4,-0.03336647836935469,2,12
post_g5,0.17487218122270282,2,12
post_g6,-0.11011031331621693,2,12
post_g1,-0.021198352283535733,1,13
post_g2,-0.014311418440656122,1,13
post_g3,0.009305636981008898,1,13
post_g4,-0.029706917816143125,1,13
post_g5,0.1729361060360882,1,13
post_g6,-0.1144075264879921,1,13
post_g1,-0.02227307656816261,2,13
post_g2,-0.022103625896177315,2,13
post_g3,0.015573452134959701,2,13
post_g4,-0.02967392868737275,2,13
post_g5,0.17639744022393072,2,13
post_g6,-0.11744203003724284,2,13
post_g1,-0.016576287511741297,1,14
post_g2,-0.016883351966526544,1,14
post_g3,0.009923669337322721,1,14
post_g4,-0.03200011658192129,1,14
post_g5,0.18161719019831235,1,14
post_g6,-0.12326619980757533,1,14
post_g1,-0.020879018844344725,2,14
post_g2,-0.018602836084042684,2,14
post_g3,0.01152400227401158,2,14
post_g4,-0.031049641498376374,2,14
post_g5,0.17428774336862535,2,14
post_g6,-0.11476864750021037,2,14
post_g1,-0.016641587713367368,1,15
post_g2,-0.021873961370100656,1,15
post_g3,0.010637072872586067,1,15
post_g4,-0.03293903614838404,1,15
post_g5,0.17472054557123334,1,15
post_g6,-0.11083471389969701,1,15
post_g1,-0.01972159849693464,2,15
post_g2,-0.021318700103198716,2,15
post_g3,0.013027690125572065,2,15
post_g4,-0.034498051439183317,2,15
post_g5,0.17738047609504703,2,15
post_g6,-0.11424987282991902,2,15
post_g1,-0.02348132306263118,1,16
post_g2,-0.01705744683421887,1,16
post_g3,0.006751359250678215,1,16
post_g4,-0.035456111786212136,1,16
post_g5,0.19253449644444565,1,16
post_g6,-0.12007226612013483,1,16
post_g1,-0.024479192845924876,2,16
post_g2,-0.020046894161773087,2,16
post_g3,0.01016305172073808,2,16
post_g4,-0.03354608018091827,2,16
post_g5,0.18734795892086464,2,16
post_g6,-0.11888878348544127,2,16
post_g1,-0.020455208878187747,1,17
post_g2,-0.020714155750898716,1,17
post_g3,0.012630225914765408,1,17
post_g4,-0.03765825380952978,1,17
post_g5,0.19391493843207272,1,17
post_g6,-0.12425013589257486,1,17
post_g1,-0.026012685483606586,2,17
post_g2,-0.02531566487417583,2,17
post_g3,0.0083388749365652,2,17
post_g4,-0.03399454669994989,2,17
post_g5,0.19217227320428903,2,17
post_g6,-0.11463675389896469,2,17
post_g1,-0.019008461011454227,1,18
post_g2,-0.020108817275484206,1,18
post_g3,0.01626286609814226,1,18
post_g4,-0.03462219847080014,1,18
post_g5,0.1779447625779041,1,18
post_g6,-0.11722738107480926,1,18
post_g1,-0.01936529879116127,2,18
post_g2,-0.024882790978690915,2,18
post_g3,0.008568040144115021,2,18
post_g4,-0.03492854239555809,2,18
post_g5,0.19254402285214117,2,18
post_g6,-0.12137175328246541,2,18
post_g1,-0.023967758100070548,1,19
post_g2,-0.02053342784108674,1,19
post_g3,0.010288231329449508,1,19
post_g4,-0.031845492909875185,1,19
post_g5,0.18649213066386505,1,19
post_g6,-0.11768221518610955,1,19
post_g1,-0.022951358521834477,2,19
post_g2,-0.019772372093548013,2,19
post_g3,0.016282753622668927,2,19
post_g4,-0.03546578931767516,2,19
post_g5,0.18727203134052517,2,19
post_g6,-0.12475959524154538,2,19
post_g1,-0.01416068430200786,1,20
post_g2,-0.02147760306166982,1,20
post_g3,0.009636672287546843,1,20
post_g4,-0.03419710104565889,1,20
post_g5,0.18589333931992894,1,20
post_g6,-0.12264428574386423,1,20
post_g1,-0.028238334136086167,2,20
post_g2,-0.021453580350680547,2,20
post_g3,0.011564976699133627,2,20
post_g4,-0.03490954032290311,2,20
post_g5,0.19165001222072053,2,20
post_g6,-0.11803966449341646,2,20
post_g1,-0.018887393210598784,1,21
post_g2,-0.02019655047615513,1,21
post_g3,0.005786516165293626,1,21
post_g4,-0.033233773181875835,1,21
post_g5,0.18210410326192358,1,21
post_g6,-0.11243671460493854,1,21
post_g1,-0.021055024334708156,2,21
post_g2,-0.024677663481676868,2,21
post_g3,0.012088880173992643,2,21
post_g4,-0.037039769157180505,2,21
post_g5,0.19216214712024596,2,21
post_g6,-0.12085788249812177,2,21
post_g1,-0.024397574420299203,1,22
post_g2,-0.019815333049907825,1,22
post_g3,0.005950381112101833,1,22
post_g4,-0.029244969098889406,1,22
post_g5,0.1830276396374005,1,22
post_g6,-0.1130470046953951,1,22
post_g1,-0.023998754917354738,2,22
post_g2,-0.017487929150289322,2,22
post_g3,0.011314295910944993,2,22
post_g4,-0.036619977646045715,2,22
post_g5,0.1928521920832834,2,22
post_g6,-0.12544791394746319,2,22
post_g1,-0.017902828413251196,1,23
post_g2,-0.020861451586669792,1,23
post_g3,0.009381020090651823,1,23
post_g4,-0.032880284247465925,1,23
post_g5,0.18248932455798608,1,23
post_g6,-0.11728900526203465,1,23
post_g1,-0.026316210614167918,2,23
post_g2,-0.017038717685177923,2,23
post_g3,0.01258140936182375,2,23
post_g4,-0.03524238596355035,2,23
post_g5,0.19521925988974542,2,23
post_g6,-0.12863665268458718,2,23
post_g1,-0.01552436607574296,1,24
post_g2,-0.02235710362210714,1,24
post_g3,0.009350090768137208,1,24
post_g4,-0.030283890758323155,1,24
post_g5,0.17084182041629076,1,24
post_g6,-0.10924103269903973,1,24
post_g1,-0.019815996030879433,2,24
post_g2,-0.02466076723282639,2,24
post_g3,0.011638316053248735,2,24
post_g4,-0.032623955963009744,2,24
post_g5,0.17952138067006462,2,24
post_g6,-0.11350818950211221,2,24
post_g1,-0.020007415395390638,1,25
post_g2,-0.019328665379951166,1,25
post_g3,0.01463966241389432,1,25
post_g4,-0.03153011957019919,1,25
post_g5,0.1765944317800554,1,25
post_g6,-0.11767328449556007,1,25
post_g1,-0.019307454751607216,2,25
post_g2,-0.020442577987453817,2,25
post_g3,0.006512584882891375,2,25
post_g4,-0.030185949993205424,2,25
post_g5,0.17972808781676744,2,25
post_g6,-0.11577186987285071,2,25
post_g1,-0.01951811764843106,1,26
post_g2,-0.01980288731480843,1,26
post_g3,0.008357993395204454,1,26
post_g4,-0.03387608242952586,1,26
post_g5,0.18396680071934826,1,26
post_g6,-0.11589816832734035,1,26
post_g1,-0.021498974021006124,2,26
post_g2,-0.02476073220239674,2,26
post_g3,0.007614142659090057,2,26
post_g4,-0.03919153374877594,2,26
post_g5,0.19853428585852695,2,26
post_g6,-0.11999274754145496,2,26
post_g1,-0.017295988577563544,1,27
post_g2,-0.018861312867278532,1,27
post_g3,0.010805620080099977,1,27
post_g4,-0.03205618724679174,1,27
post_g5,0.18335954819693592,1,27
post_g6,-0.12311606094903235,1,27
post_g1,-0.023826409493300685,2,27
post_g2,-0.024287521200651467,2,27
post_g3,0.012258806203522363,2,27
post_g4,-0.03247372882993854,2,27
post_g5,0.18817560345692946,2,27
post_g6,-0.11933253956933784,2,27
post_g1,-0.016584423552741274,1,28
post_g2,-0.020757676992027164,1,28
post_g3,0.009980423257095484,1,28
post_g4,-0.031610936952927216,1,28
post_g5,0.1781287389019423,1,28
post_g6,-0.11602885447181946,1,28
post_g1,-0.019097936901741986,2,28
post_g2,-0.02181025677687952,2,28
post_g3,0.012041951693988601,2,28
post_g4,-0.029912200297803823,2,28
post_g5,0.16758360156973917,2,28
post_g6,-0.10827209877090442,2,28
post_g1,-0.022442346759984563,1,29
post_g2,-0.01999322142266679,1,29
post_g3,0.011385550013271146,1,29
post_g4,-0.03427092471175931,1,29
post_g5,0.1960603109524504,1,29
post_g6,-0.1279079187059321,1,29
post_g1,-0.023635945366183818,2,29
post_g2,-0.020821132052669077,2,29
post_g3,0.010544257558425044,2,29
post_g4,-0.03274862855891071,2,29
post_g5,0.18297695715938656,2,29
post_g6,-0.11578179976321223,2,29
post_g1,-0.019708311506197555,1,30
post_g2,-0.02308885629367732,1,30
post_g3,0.0019693528655136115,1,30
post_g4,-0.03421049152973187,1,30
post_g5,0.1924708114901378,1,30
post_g6,-0.11447986709817318,1,30
post_g1,-0.02471214704981644,2,30
post_g2,-0.02312962980719524,2,30
post_g3,0.008406141743333831,2,30
post_g4,-0.03164665076661012,2,30
post_g5,0.19024040281168694,2,30
post_g6,-0.11863792204228363,2,30
post_g1,-0.020728110270679636,1,31
post_g2,-0.01694412361297992,1,31
post_g3,0.007421456307626699,1,31
post_g4,-0.028637935370115462,1,31
post_g5,0.1765716324580681,1,31
post_g6,-0.11503623447728695,1,31
post_g1,-0.022573029874476503,2,31
post_g2,-0.020074635151389693,2,31
post_g3,0.007517117386571461,2,31
post_g4,-0.03068651177268805,2,31
post_g5,0.17594767301140107,2,31
post_g6,-0.10958576737885835,2,31
post_g1,-0.02350854383447686,1,32
post_g2,-0.024277856121126352,1,32
post_g3,0.009178823030185043,1,32
post_g4,-0.02880160443086697,1,32
post_g5,0.17415818802405753,1,32
post_g6,-0.1040867730071604,1,32
post_g1,-0.02719677406023386,2,32
post_g2,-0.01861106648662514,2,32
post_g3,0.014377173020774634,2,32
post_g4,-0.03235007931500586,2,32
post_g5,0.1827557538118943,2,32
post_g6,-0.1184431360067317,2,32
post_g1,-0.01799940428463811,1,33
post_g2,-0.02226627300337196,1,33
post_g3,0.011753906749731653,1,33
post_g4,-0.03386426338889162,1,33
post_g5,0.17974427480212166,1,33
post_g6,-0.11423368685922472,1,33
post_g1,-0.02373731738607384,2,33
post_g2,-0.022887686720028583,2,33
post_g3,0.011344258230743334,2,33
post_g4,-0.03079351417231045,2,33
post_g5,0.18246498994927718,2,33
post_g6,-0.11587976133048244,2,33
post_g1,-0.02106110055618937,1,34
post_g2,-0.016530915956058222,1,34
post_g3,0.010404444808187814,1,34
post_g4,-0.03273504952301942,1,34
post_g5,0.18458740245491612,1,34
post_g6,-0.12168288824600243,1,34
post_g1,-0.03092451320698434,2,34
post_g2,-0.019410116964708415,2,34
post_g3,0.016029836324474335,2,34
post_g4,-0.03308723484990904,2,34
post_g5,0.1934965160455606,2,34
post_g6,-0.12557214115859644,2,34
post_g1,-0.023225107557811972,1,35
post_g2,-0.022808449757797656,1,35
post_g3,0.008680625171856114,1,35
post_g4,-0.03372739826819082,1,35
post_g5,0.19235225806192036,1,35
post_g6,-0.1182851211790005,1,35
post_g1,-0.024545435777935457,2,35
post_g2,-0.02131016209271961,2,35
post_g3,0.015353339559412756,2,35
post_g4,-0.03296505730221053,2,35
post_g5,0.18185787379508983,2,35
post_g6,-0.11782432815746266,2,35
post_g1,-0.019620573391901826,1,36
post_g2,-0.02193919743365466,1,36
post_g3,0.006309536351518168,1,36
post_g4,-0.03308045822441318,1,36
post_g5,0.18786935334473798,1,36
post_g6,-0.11649774330447421,1,36
post_g1,-0.019577671465479875,2,36
post_g2,-0.024340452345401897,2,36
post_g3,0.013044214339559518,2,36
post_g4,-0.035550368007400246,2,36
post_g5,0.19065477649139567,2,36
post_g6,-0.12368396002222393,2,36
post_g1,-0.017453045009974515,1,37
post_g2,-0.021889735045466256,1,37
post_g3,0.0036070704798491595,1,37
post_g4,-0.032769882574775686,1,37
post_g5,0.18538203699772812,1,37
post_g6,-0.1139917884245106,1,37
post_g1,-0.018612264451569552,2,37
post_g2,-0.02371814404589572,2,37
post_g3,0.010664490423515197,2,37
post_g4,-0.03461265183734917,2,37
post_g5,0.18406018474962638,2,37
post_g6,-0.11720311938850608,2,37
post_g1,-0.018532944972110388,1,38
post_g2,-0.018812811577427126,1,38
post_g3,0.009704659028845666,1,38
post_g4,-0.03452901107972156,1,38
post_g5,0.18217304329371728,1,38
post_g6,-0.11684507188121004,1,38
post_g1,-0.025085091579875197,2,38
post_g2,-0.023677243809176594,2,38
post_g3,0.004592580918206912,2,38
post_g4,-0.03185305810184118,2,38
post_g5,0.1830652270058677,2,38
post_g6,-0.10647352167049715,2,38
post_g1,-0.01747368821605924,1,39
post_g2,-0.021193920362193294,1,39
post_g3,0.005197536499697151,1,39
post_g4,-0.03516402773153775,1,39
post_g5,0.18964275086885363,1,39
post_g6,-0.11772525314539435,1,39
post_g1,-0.024534370017226886,2,39
post_g2,-0.019884859405355344,2,39
post_g3,0.00895218835255723,2,39
post_g4,-0.03585605438405793,2,39
post_g5,0.19155977680986508,2,39
post_g6,-0.11964469222354138,2,39
post_g1,-0.017690830809109416,1,40
post_g2,-0.020047471887527694,1,40
post_g3,0.01099720997004925,1,40
post_g4,-0.03629206782098762,1,40
post_g5,0.18620651791124188,1,40
post_g6,-0.12000769856183904,1,40
post_g1,-0.030843764304473748,2,40
post_g2,-0.019999800031223758,2,40
post_g3,0.013680125190751975,2,40
post_g4,-0.03398184528071478,2,40
post_g5,0.1890748525451526,2,40
post_g6,-0.11737113519406059,2,40
post_g1,-0.02216386086561605,1,41
post_g2,-0.020659710939411983,1,41
post_g3,0.00797435673818029,1,41
post_g4,-0.03079930022319639,1,41
post_g5,0.17919940820843167,1,41
post_g6,-0.11073609521390815,1,41
post_g1,-0.022881480068605596,2,41
post_g2,-0.023115657034114535,2,41
post_g3,0.013482193114543378,2,41
post_g4,-0.03347017058172859,2,41
post_g5,0.18111519584882566,2,41
post_g6,-0.11456306271193309,2,41
post_g1,-0.01815721057291115,1,42
post_g2,-0.019742032312049292,1,42
post_g3,0.014110007843665399,1,42
post_g4,-0.031803854462827956,1,42
post_g5,0.1750244505621897,1,42
post_g6,-0.11671666443632656,1,42
post_g1,-0.02298688417807731,2,42
post_g2,-0.021776078942877843,2,42
post_g3,0.008182780303223208,2,42
post_g4,-0.03297332716875828,2,42
post_g5,0.18511612800165395,2,42
post_g6,-0.11499061424062336,2,42
post_g1,-0.022432945457915396,1,43
post_g2,-0.020415791165382575,1,43
post_g3,0.00637891121949276,1,43
post_g4,-0.03279642857454332,1,43
post_g5,0.1818124181272593,1,43
post_g6,-0.10963936629836972,1,43
post_g1,-0.022780920544318135,2,43
post_g2,-0.020192375112641853,2,43
post_g3,0.009998546693383327,2,43
post_g4,-0.035190348179653844,2,43
post_g5,0.19218122921944752,2,43
post_g6,-0.1234475176503783,2,43
post_g1,-0.02115908258661616,1,44
post_g2,-0.017075999285108185,1,44
post_g3,0.009387915923376091,1,44
post_g4,-0.03183116133198187,1,44
post_g5,0.1816833905242253,1,44
post_g6,-0.11805960408616116,1,44
post_g1,-0.020526397207606815,2,44
post_g2,-0.023125609060669267,2,44
post_g3,0.008954089520692357,2,44
post_g4,-0.033166748875974164,2,44
post_g5,0.17904641503610752,2,44
post_g6,-0.11059151609227268,2,44
post_g1,-0.019014388870235134,1,45
post_g2,-0.019024100259985736,1,45
post_g3,0.012882540944327584,1,45
post_g4,-0.03383037273822617,1,45
post_g5,0.18093818954488972,1,45
post_g6,-0.11893679101040924,1,45
post_g1,-0.021161679088825967,2,45
post_g2,-0.020955208373050413,2,45
post_g3,0.01176841920786372,2,45
post_g4,-0.03642134959740932,2,45
post_g5,0.1939558951911316,2,45
post_g6,-0.12660712149827213,2,45
post_g1,-0.022446475857726987,1,46
post_g2,-0.021413715590488176,1,46
post_g3,0.013251501941602451,1,46
post_g4,-0.03199244387494307,1,46
post_g5,0.18217633431995775,1,46
post_g6,-0.11677815266900182,1,46
post_g1,-0.024618910175029377,2,46
post_g2,-0.023408305806848564,2,46
post_g3,0.011799358629558629,2,46
post_g4,-0.0362975219947492,2,46
post_g5,0.1926177662670045,2,46
post_g6,-0.11943087291721094,2,46
post_g1,-0.022730824766519796,1,47
post_g2,-0.01567129912038839,1,47
post_g3,0.013058664451393712,1,47
post_g4,-0.028716691365453337,1,47
post_g5,0.17089950062564527,1,47
post_g6,-0.1142609069929284,1,47
post_g1,-0.029035937216970766,2,47
post_g2,-0.023269085400779183,2,47
post_g3,0.009512985978787091,2,47
post_g4,-0.030821039654714746,2,47
post_g5,0.1851135090946077,2,47
post_g6,-0.11100237446414926,2,47
post_g1,-0.01589905679855752,1,48
post_g2,-0.023282832831298856,1,48
post_g3,0.005082701774917351,1,48
post_g4,-0.03221217944043525,1,48
post_g5,0.18072825042314417,1,48
post_g6,-0.11150116326850124,1,48
post_g1,-0.022626449901678003,2,48
post_g2,-0.024043204576168094,2,48
post_g3,0.012405167665705851,2,48
post_g4,-0.03431446879812171,2,48
post_g5,0.1909047578506649,2,48
post_g6,-0.12176819224499985,2,48
post_g1,-0.02065577919696121,1,49
post_g2,-0.02075310703496022,1,49
post_g3,0.012664071832603074,1,49
post_g4,-0.03176892426357214,1,49
post_g5,0.18176178840140647,1,49
post_g6,-0.11842456884346605,1,49
post_g1,-0.027822733866673006,2,49
post_g2,-0.020123013987424804,2,49
post_g3,0.014115976949144115,2,49
post_g4,-0.031557617006651745,2,49
post_g5,0.18065482595087506,2,49
post_g6,-0.11476971646837661,2,49
post_g1,-0.01915740119420395,1,50
post_g2,-0.01965296205086111,1,50
post_g3,0.012919184332391375,1,50
post_g4,-0.032137957150826,1,50
post_g5,0.17718376770594302,1,50
post_g6,-0.11629289763030774,1,50
post_g1,-0.02295698704239935,2,50
post_g2,-0.025337609889902295,2,50
post_g3,0.0031691420998047086,2,50
post_g4,-0.035947414865642076,2,50
post_g5,0.19721542617723117,2,50
post_g6,-0.11550095137627212,2,50
post_g1,-0.021921850095110204,1,51
post_g2,-0.020997816895454248,1,51
post_g3,0.015846121251449633,1,51
post_g4,-0.031202446253060796,1,51
post_g5,0.17238461071737354,1,51
post_g6,-0.11134802269087635,1,51
post_g1,-0.02588162789827915,2,51
post_g2,-0.02532025408854363,2,51
post_g3,0.0068291880473441546,2,51
post_g4,-0.0337982597844798,2,51
post_g5,0.19140943261771554,2,51
post_g6,-0.11267642307854706,2,51
post_g1,-0.016618851381268153,1,52
post_g2,-0.02193328415817847,1,52
post_g3,0.004796110782952575,1,52
post_g4,-0.032567402370388035,1,52
post_g5,0.18196384831662604,1,52
post_g6,-0.11257569523872589,1,52
post_g1,-0.024673217729414356,2,52
post_g2,-0.02033585432448286,2,52
post_g3,0.011838766364011395,2,52
post_g4,-0.03433518920760725,2,52
post_g5,0.18875675588764532,2,52
post_g6,-0.12068416867864248,2,52
post_g1,-0.020290167960027028,1,53
post_g2,-0.01789835284832125,1,53
post_g3,0.012877502553667326,1,53
post_g4,-0.03154777979411118,1,53
post_g5,0.17771528119053515,1,53
post_g6,-0.11786993135306054,1,53
post_g1,-0.017742196264766478,2,53
post_g2,-0.0274434051663928,2,53
post_g3,0.011036572786586766,2,53
post_g4,-0.033632140835656466,2,53
post_g5,0.17775337807795644,2,53
post_g6,-0.10942162154312457,2,53
post_g1,-0.01610949521787263,1,54
post_g2,-0.022500177873484597,1,54
post_g3,0.008822168391856896,1,54
post_g4,-0.03353481620254457,1,54
post_g5,0.18617715718151415,1,54
post_g6,-0.11997197549622272,1,54
post_g1,-0.02822294792977645,2,54
post_g2,-0.018753231200117813,2,54
post_g3,0.013854562588251674,2,54
post_g4,-0.035365926042555756,2,54
post_g5,0.186353412278293,2,54
post_g6,-0.11725194327630517,2,54
post_g1,-0.017676958017071157,1,55
post_g2,-0.016215773046786112,1,55
post_g3,0.008645010735645232,1,55
post_g4,-0.034265284637158,1,55
post_g5,0.185625920635332,1,55
post_g6,-0.12296362667791691,1,55
post_g1,-0.024677571466831708,2,55
post_g2,-0.020156720756643536,2,55
post_g3,0.005469786378604943,2,55
post_g4,-0.030012163795461184,2,55
post_g5,0.17880065524371985,2,55
post_g6,-0.10886565064985641,2,55
post_g1,-0.020083793312493395,1,56
post_g2,-0.02338868655248137,1,56
post_g3,0.009673410833546137,1,56
post_g4,-0.031041083985143197,1,56
post_g5,0.18463711852368633,1,56
post_g6,-0.11697500677781868,1,56
post_g1,-0.022153484486175122,2,56
post_g2,-0.021949900066266157,2,56
post_g3,0.0059900347374909,2,56
post_g4,-0.038662497086826245,2,56
post_g5,0.20073612274252145,2,56
post_g6,-0.12330954874827962,2,56
post_g1,-0.013528826557860401,1,57
post_g2,-0.019170287539801004,1,57
post_g3,0.018922066843068453,1,57
post_g4,-0.03357113711327367,1,57
post_g5,0.17800904356104089,1,57
post_g6,-0.1278487340269004,1,57
