model,test,Wald,df,p_value
pre,Adding-up,6.1590932766923874e-30,9,1.0
pre,Homogeneity,0.0,6,1.0
pre,Symmetry,0.0,15,1.0
1,Adding-up,2.4810119639186435e-11,9,1.0
1,Homogeneity,169.53483239532193,6,5.644852434872647e-34
1,Symmetry,375.4028794975562,15,1.0067648470682947e-70
2,Adding-up,1.7046737945182275e-11,9,1.0
2,Homogeneity,9.53761677853938,6,0.14552341675317584
2,Symmetry,16.7448638294823,15,0.3343438644114138
