term,coef,scenario,draw
post_g5,0.003487129900039786,1,9
post_g6,0.007774593005497108,1,9
post_g1,-0.016649582707685105,2,9
post_g2,0.022197136395910762,2,9
post_g3,0.0020649373711821646,2,9
post_g4,0.020790142744471055,2,9
post_g5,0.002948515687608005,2,9
post_g6,-0.025605052202255583,2,9
post_g1,-0.014621383760165094,1,10
post_g2,-0.0021233567583518777,1,10
post_g3,0.0016423607182669373,1,10
post_g4,0.029536359056741526,1,10
post_g5,0.002925861480269028,1,10
post_g6,0.010567813101010015,1,10
post_g1,-0.017261317355092346,2,10
post_g2,0.004672339187303318,2,10
post_g3,0.008688312878901403,2,10
post_g4,0.02975286988010469,2,10
post_g5,0.0035604588636650733,2,10
post_g6,-0.024049384028734522,2,10
post_g1,0.0009997681252048294,1,11
post_g2,-0.0033346632947276545,1,11
post_g3,-0.010513518458212062,1,11
post_g4,0.02346725992493876,1,11
post_g5,0.004853309662332451,1,11
post_g6,0.015617818928038204,1,11
post_g1,0.0017390426686982002,2,11
post_g2,0.007648732952310076,2,11
post_g3,-0.008046973394147294,2,11
post_g4,0.023095227018473774,2,11
post_g5,0.003223919213700339,2,11
post_g6,-0.021700717171007494,2,11
post_g1,-0.016201656711940737,1,12
post_g2,-0.005973193570493399,1,12
post_g3,0.009648330559636237,1,12
post_g4,0.020477210229045202,1,12
post_g5,0.015825915392264002,1,12
post_g6,0.004310722787349312,1,12
post_g1,-0.019648273761382843,2,12
post_g2,0.002954882857679201,2,12
post_g3,0.01735728316272593,2,12
post_g4,0.020549247153743448,2,12
post_g5,0.014547840948405746,2,12
post_g6,-0.030389175881163646,2,12
post_g1,-0.00934179258679562,1,13
post_g2,-0.0065008176358676804,1,13
post_g3,-0.0030453027337027207,1,13
post_g4,0.021318044145609824,1,13
post_g5,0.0009523087429839126,1,13
post_g6,0.028541116069952487,1,13
post_g1,-0.015052395687521494,2,13
post_g2,0.003449346070279385,2,13
post_g3,0.0031973348664858757,2,13
post_g4,0.021187748200143165,2,13
post_g5,-0.00038402098678939266,2,13
post_g6,-0.006284458455685333,2,13
post_g1,-0.014451678248162396,1,14
post_g2,0.0057027384065597205,1,14
post_g3,-0.004087255336061881,1,14
post_g4,0.0189744404460886,1,14
post_g5,0.0013950673617245499,1,14
post_g6,0.016612045767840013,1,14
post_g1,-0.016586811014726567,2,14
post_g2,0.019604824927650442,2,14
post_g3,0.0013774663991802018,2,14
