term,coef,std_err,p,ci_low,ci_high,spec,scenario
const,-8.690558038829121e-19,1.899611629968831e-19,4.764178022782013e-06,-1.2413728418181458e-18,-4.967387659476785e-19,A_s1,1
post,2.718382266341855e-10,3.0868364582911784e-10,0.37851434869145284,-3.3317060180740317e-10,8.768470550757741e-10,A_s1,1
const,4.732796592783403e-19,1.988292512342324e-19,0.01729703910773637,8.35814877861787e-20,8.629778307705019e-19,A_s2,2
post,2.71838218401237e-10,3.0868364582218156e-10,0.37851436312114817,-3.3317061002675684e-10,8.768470468292308e-10,A_s2,2
