term,coef,std_err,p,ci_low,ci_high,spec
const,4.732796592783403e-19,8.2299555717007865e-19,0.5652442814814846,-1.1397916327750138e-18,2.0863509513316944e-18,Ccont_s2
post,0.00044587592082334583,0.00436415094342596,0.9186234458330329,-0.008107859928291536,0.008999611769938229,Ccont_s2
post_tax,0.0006443796742567924,0.0003757126300006308,0.08632936189696516,-9.201708054444406e-05,0.001380776429058029,Ccont_s2
log_price,0.06313826402610231,0.025157471142420906,0.012082616994101514,0.013829620586957338,0.1124469074652473,Ccont_s2
