post_coef,scenario,run
2.7183817240120697e-10,2,197
2.718382244158062e-10,1,198
2.718382072040967e-10,2,198
2.718382278920294e-10,1,199
2.7183820090894784e-10,2,199
2.71838209216647e-10,1,200
2.7183821740406745e-10,2,200
2.7183819608424817e-10,1,201
2.7183823813096367e-10,2,201
2.7183824060091175e-10,1,202
2.718382081324448e-10,2,202
2.7183822491047343e-10,1,203
2.7183821149347155e-10,2,203
2.7183824769396565e-10,1,204
2.718382372703782e-10,2,204
2.718382206888612e-10,1,205
2.71838206414662e-10,2,205
2.718382120762302e-10,1,206
2.718382037617548e-10,2,206
2.7183822213898163e-10,1,207
2.7183822626572615e-10,2,207
2.718381894807793e-10,1,208
2.718382034398823e-10,2,208
2.7183820904046413e-10,1,209
2.7183821649435407e-10,2,209
2.718382147678362e-10,1,210
2.7183824253722906e-10,2,210
2.7183826072302644e-10,1,211
2.7183822044491573e-10,2,211
2.7183823706031403e-10,1,212
2.718382005836872e-10,2,212
2.7183822194247e-10,1,213
2.718381812510072e-10,2,213
2.718382304831032e-10,1,214
2.7183824473443253e-10,2,214
2.7183823466490485e-10,1,215
2.7183820634351123e-10,2,215
2.7183821549146706e-10,1,216
2.7183820583529146e-10,2,216
2.718381888200936e-10,1,217
2.7183823370606356e-10,2,217
2.718381745848579e-10,1,218
2.7183822098024056e-10,2,218
2.718382478345731e-10,1,219
2.718381859486519e-10,2,219
2.7183823171384206e-10,1,220
2.718382331233049e-10,2,220
2.718382347767132e-10,1,221
2.7183819339407153e-10,2,221
2.71838234668293e-10,1,222
2.718382194310173e-10,2,222
2.718382389983254e-10,1,223
2.718382038159649e-10,2,223
2.7183823415329695e-10,1,224
2.718381831534432e-10,2,224
2.7183828800595767e-10,1,225
2.7183816600441415e-10,2,225
2.718382328048205e-10,1,226
2.7183824788200696e-10,2,226
2.718382058285152e-10,1,227
2.718382454976092e-10,2,227
2.718382040904036e-10,1,228
2.7183819954861293e-10,2,228
2.718382005430296e-10,1,229
2.718382093657248e-10,2,229
2.7183825141455787e-10,1,230
2.718382212639966e-10,2,230
2.718382416952783e-10,1,231
2.718382127267515e-10,2,231
2.7183823383481256e-10,1,232
2.7183820552358334e-10,2,232
2.718382252933323e-10,1,233
2.7183824008930385e-10,2,233
2.7183821648948363e-10,1,234
2.718382067568633e-10,2,234
2.718382527541405e-10,1,235
2.7183820185762474e-10,2,235
2.718382266807723e-10,1,236
2.71838222637037e-10,2,236
2.7183823919483706e-10,1,237
2.718382326252495e-10,2,237
2.7183818628915917e-10,1,238
2.7183821571508376e-10,2,238
2.718382066158323e-10,1,239
2.7183823061608737e-10,2,239
2.718382190151241e-10,1,240
2.7183824560687647e-10,2,240
2.7183822096668803e-10,1,241
2.7183822081761023e-10,2,241
2.7183823706031403e-10,1,242
2.7183820572687124e-10,2,242
2.718382511176728e-10,1,243
2.718382247376787e-10,2,243
2.7183820273176274e-10,1,244
2.7183825338052134e-10,2,244
2.718382468926725e-10,1,245
2.7183825782109157e-10,2,245
2.7183817694130356e-10,1,246
2.7183820875586106e-10,2,246
2.7183818496439964e-10,1,247
2.718382001906639e-10,2,247
2.718381993936059e-10,1,248
2.718381892741033e-10,2,248
2.7183822883901224e-10,1,249
2.718382277116114e-10,2,249
2.7183823605065075e-10,1,250
2.718382061808809e-10,2,250
2.7183820554391213e-10,1,251
2.7183825246276114e-10,2,251
2.7183823259475633e-10,1,252
2.7183823463441167e-10,2,252
2.718382577499408e-10,1,253
2.718382358744679e-10,2,253
2.7183821398713654e-10,1,254
2.7183818060726216e-10,2,254
2.718382388695764e-10,1,255
2.7183822008577377e-10,2,255
2.718382348173708e-10,1,256
2.718382077665266e-10,2,256
2.718382242870572e-10,1,257
2.7183820897947776e-10,2,257
2.718382230537772e-10,1,258
2.71838212147381e-10,2,258
2.7183819614523454e-10,1,259
2.718382374533373e-10,2,259
2.718381987744248e-10,1,260
2.71838257395881e-10,2,260
2.7183821393292644e-10,1,261
2.7183820245393593e-10,2,261
2.718382102601916e-10,1,262
2.718382411192959e-10,2,262
2.7183820222015484e-10,1,263
2.7183819025284985e-10,2,263
2.718381869769499e-10,1,264
2.7183823335369785e-10,2,264
2.7183819397005394e-10,1,265
2.718381703344466e-10,2,265
2.7183821858186677e-10,1,266
2.718382495083102e-10,2,266
2.718382104838083e-10,1,267
2.718382300333287e-10,2,267
2.718382216781957e-10,1,268
2.7183821030084916e-10,2,268
2.718381995808002e-10,1,269
2.7183821541555173e-10,2,269
2.718382299926711e-10,1,270
2.7183824040101197e-10,2,270
2.7183823190357745e-10,1,271
2.718382609330906e-10,2,271
2.718382025759087e-10,1,272
2.7183821870511006e-10,2,272
2.718382263334888e-10,1,273
2.7183823098878186e-10,2,273
2.7183821435983104e-10,1,274
2.7183819754410946e-10,2,274
2.718382284680118e-10,1,275
2.718382056387798e-10,2,275
2.718382419595526e-10,1,276
2.7183822242189063e-10,2,276
2.7183819915389557e-10,1,277
2.718382311802113e-10,2,277
2.7183821006367993e-10,1,278
2.718382373991272e-10,2,278
2.718382242667284e-10,1,279
2.7183821204912516e-10,2,279
2.7183825724680323e-10,1,280
2.7183822121656275e-10,2,280
2.718382259607943e-10,1,281
2.7183820230485814e-10,2,281
2.718382411853645e-10,1,282
2.718382008801487e-10,2,282
2.718382334146842e-10,1,283
2.718382391880608e-10,2,283
2.71838203612677e-10,1,284
2.7183820546937323e-10,2,284
2.718382245987653e-10,1,285
2.718382488645652e-10,2,285
2.7183818613669324e-10,1,286
2.7183820910822677e-10,2,286
2.718382531480108e-10,1,287
2.718382341884488e-10,2,287
2.7183824974802054e-10,1,288
2.718381948848495e-10,2,288
2.718382507754715e-10,1,289
2.718381976021312e-10,2,289
2.7183820998236477e-10,1,290
2.7183822945819333e-10,2,290
2.7183822088706693e-10,1,291
2.718382109988043e-10,2,291
2.718382232773939e-10,1,292
2.718382207498476e-10,2,292
2.718382288271538e-10,1,293
2.718382115951155e-10,2,293
2.7183824216453457e-10,1,294
2.7183819428176206e-10,2,294
2.7183824027903923e-10,1,295
2.718381987947536e-10,2,295
2.718381980696934e-10,1,296
2.718381934144003e-10,2,296
2.7183819813067977e-10,1,297
2.71838219011736e-10,2,297
2.718382274210791e-10,1,298
2.7183821028052037e-10,2,298
2.7183825395692726e-10,1,299
2.718382092191881e-10,2,299
2.718382295860953e-10,1,300
2.718382425016537e-10,2,300
2.718382168143737e-10,1,301
2.718382231350924e-10,2,301
2.7183823726360194e-10,1,302
2.718382418308036e-10,2,302
2.71838217829278e-10,1,303
2.7183822877294367e-10,2,303
2.7183822418541323e-10,1,304
2.718381903650817e-10,2,304
2.718382281698562e-10,1,305
2.7183817653472775e-10,2,305
2.7183817123568963e-10,1,306
2.718382352781567e-10,2,306
2.7183827210714925e-10,1,307
2.7183817130345227e-10,2,307
2.718382269433525e-10,1,308
2.7183825575602524e-10,2,308
2.718382061402233e-10,1,309
2.71838230863421e-10,2,309
2.7183824048063307e-10,1,310
2.7183821803934216e-10,2,310
2.718381943291959e-10,1,311
2.718382082882989e-10,2,311
2.718382477058241e-10,1,312
2.718382125031348e-10,2,312
2.7183821276063284e-10,1,313
2.7183819659246794e-10,2,313
2.718382113172887e-10,1,314
2.718382138312825e-10,2,314
2.7183821502390487e-10,1,315
2.718382239126686e-10,2,315
2.718382303314843e-10,1,316
2.7183816983300307e-10,2,316
2.718382586698186e-10,1,317
2.718382070956765e-10,2,317
2.718381946070227e-10,1,318
2.7183823210686535e-10,2,318
2.718382201975821e-10,1,319
2.718382099959173e-10,2,319
2.718382196182116e-10,1,320
2.7183819914034305e-10,2,320
2.718382199909061e-10,1,321
2.718382353391431e-10,2,321
2.7183822384660005e-10,1,322
2.718382221118766e-10,2,322
2.718382383884617e-10,1,323
2.7183822135293505e-10,2,323
2.718382342955985e-10,1,324
2.71838202996037e-10,2,324
2.71838195257544e-10,1,325
2.718382113376175e-10,2,325
2.718382197982061e-10,1,326
2.718382367790991e-10,2,326
