model,idx_a,idx_b,corr,rmse_demeaned
pre,Stone,Translog,0.9566425252265278,0.40823830188792026
1,Stone,Translog,0.9926679777863175,0.1561953788775685
2,Stone,Translog,0.9934576925908862,0.1484302368421683
