model,test,Wald,df,p_value
1,Adding-up,2.4810119639186435e-11,9,1.0
1,Homogeneity,169.53483239532193,6,5.644852434872647e-34
1,Symmetry,375.4028794975562,15,1.0067648470682947e-70
