post_tax_coef,scenario,run
0.0024507976891626378,1,1
-0.0006517120181156954,2,1
-0.0013948297474335922,1,2
0.001384620806069677,2,2
-0.0005841133116238114,1,3
-6.0670208146770544e-05,2,3
0.0007907504197467833,1,4
-1.4748045098738963e-05,2,4
-0.0007499052437262755,1,5
-0.0021801569745456117,2,5
-0.0015854009803252314,1,6
-0.0013701991550636337,2,6
0.0005317933726759429,1,7
-0.0009658541641185659,2,7
-0.00010090364120288452,1,8
0.003914555246214089,2,8
-0.0003448717513823142,1,9
-0.002750239858295774,2,9
0.0009318609942639359,1,10
-0.0013703139224965776,2,10
-0.0019066583720232667,1,11
-0.0008637427320299114,2,11
-0.001376151258517685,1,12
0.0007306732883793571,2,12
-0.0007736679089594372,1,13
0.0004200968039560373,2,13
0.0017580961467162483,1,14
-0.0006445296683008919,2,14
-0.00025622904154658504,1,15
0.0006181965236220899,2,15
-0.00047973223868692945,1,16
0.0003752487047369958,2,16
-0.0005381764081981479,1,17
-0.0017832635746825173,2,17
-0.0003952037515015519,1,18
-0.00022573644934266896,2,18
-0.0008602956637070691,1,19
-0.0010417958409276497,2,19
-0.0005384967960356745,1,20
-0.002238908402531236,2,20
-0.0019659514311336397,1,21
-0.0029570105971558564,2,21
-0.0010717435164144362,1,22
-0.0018295360146060387,2,22
-0.00011078804099677928,1,23
-0.000697964976102311,2,23
-0.0028606209624348886,1,24
-0.002733550877248116,2,24
-0.0004130215034500302,1,25
-0.0009593791946438696,2,25
-0.0003039312583328098,1,26
-0.0024651010315705213,2,26
0.0013914019680748109,1,27
0.0009581837024281455,2,27
0.00030602933008859153,1,28
-0.0011819676952775392,2,28
6.758739211752801e-05,1,29
-0.0010887271099771843,2,29
0.0012499842983880994,1,30
-0.0008369702310713483,2,30
-0.0002499296540443086,1,31
-0.00038701753406953385,2,31
-0.003572021822350874,1,32
-0.002985546980532192,2,32
-0.0002271772504153561,1,33
-0.0039244894667850305,2,33
2.3259615957978642e-05,1,34
-0.001610428481425252,2,34
0.0005536595134051314,1,35
0.0007046937508384163,2,35
-0.0014412863256531606,1,36
-0.002011283952394656,2,36
-0.0014596787616425974,1,37
0.001248547084164513,2,37
0.0010589178223777132,1,38
-0.0005575374359199367,2,38
-0.0012083726919032884,1,39
0.0002886344541440729,2,39
-0.0003488820571033294,1,40
8.23020429018322e-06,2,40
0.0015443403573510259,1,41
-0.0017857986144927168,2,41
-0.0015679646949322526,1,42
-0.0004435578664465004,2,42
0.0010336078947565204,1,43
7.289521987126472e-06,2,43
0.0002984773422373523,1,44
0.0009063871395447137,2,44
-0.0013009631050972074,1,45
-0.0006032731039872785,2,45
-0.0010910932975679388,1,46
-0.0022383039290607984,2,46
-0.000840958264003639,1,47
-0.00111497260813303,2,47
-0.0015343378014167012,1,48
0.000732891826554548,2,48
-0.0005935424810497136,1,49
-0.00039662968863041963,2,49
-0.00014860088991519777,1,50
0.0010436379114429815,2,50
7.779887378891735e-06,1,51
-0.000798790108595708,2,51
-0.0008289763611383926,1,52
0.0024375222805397374,2,52
0.00039203633165841364,1,53
-0.0008133582238057731,2,53
0.001649387755652891,1,54
-0.001620460622960512,2,54
-0.0005670631149252159,1,55
0.000525235820172161,2,55
0.0007964306974312308,1,56
0.0007027070873690125,2,56
0.0003086488728791316,1,57
0.0002761314199757384,2,57
-0.0015245791511667938,1,58
-0.00045188551746755813,2,58
-0.0005978833428230098,1,59
-0.0001261939655101222,2,59
-0.00025212643608209684,1,60
0.0010963195115652946,2,60
5.413614504784328e-05,1,61
0.00036765382378603853,2,61
-0.00037500922395858176,1,62
-0.000892494810442894,2,62
0.0002516236819439791,1,63
0.000757463010551285,2,63
-0.001447324597069913,1,64
-0.00025593896062103236,2,64
-0.001371026491391019,1,65
