term,coef,std_err,p,ci_low,ci_high,spec
const,-8.690558038829121e-19,1.1992140106379055e-18,0.4686435604074983,-3.219515264733207e-18,1.4814036569673826e-18,Ccont_s1
post,0.0046903345067402565,0.004399535912932251,0.2863795420082058,-0.003932755882606956,0.013313424896087469,Ccont_s1
post_tax,0.0025204258932178874,0.0010826537510724257,0.019911713230021055,0.0003984245411159334,0.004642427245319842,Ccont_s1
log_price,0.12468160596600303,0.04800367654197069,0.009395037833983322,0.03059439994374047,0.2187688119882656,Ccont_s1
