"estrato","despesa1","preco_por_kg1","preco_com_reforma11","preco_com_reforma21","qgrama_dia1","calreal1","despesa2","preco_por_kg2","preco_com_reforma12","preco_com_reforma22","qgrama_dia2","calreal2","despesa3","preco_por_kg3","preco_com_reforma13","preco_com_reforma23","qgrama_dia3","calreal3","despesa4","preco_por_kg4","preco_com_reforma14","preco_com_reforma24","qgrama_dia4","calreal4","despesa5","preco_por_kg5","preco_com_reforma15","preco_com_reforma25","qgrama_dia5","calreal5","despesa6","preco_por_kg6","preco_com_reforma16","preco_com_reforma26","qgrama_dia6","calreal6","nfam","n_mais65anos","n_5anos","n_8esc","n_0esc","n_12esc","sexofem","renda_total","anos_estudo_dom","uf","peso","peso_final","area","regiao","capital_interior","renda_pc_est","quintil_rendapc","tercil_rendapc","duo_rendapc","p_n_mais65anos","p_n_5anos","p_n_8esc","p_n_0esc","p_n_12esc","p_sexofem","media_preco3","preco3_imp","media_preco3_nacional","media_preco3_","despesa3imp","flag_preco3_imp","media_preco4","preco4_imp","media_preco4_nacional","media_preco4_","despesa4imp","flag_preco4_imp","ln_preco_por_kg1","resid_preco_por_kg1","ln_corr_preco_por_kg1","preco_corr_preco_por_kg1","ln_preco_por_kg2","resid_preco_por_kg2","ln_corr_preco_por_kg2","preco_corr_preco_por_kg2","ln_preco_por_kg3","resid_preco_por_kg3","ln_corr_preco_por_kg3","preco_corr_preco_por_kg3","ln_preco_por_kg4","resid_preco_por_kg4","ln_corr_preco_por_kg4","preco_corr_preco_por_kg4","ln_preco_por_kg5","resid_preco_por_kg5","ln_corr_preco_por_kg5","preco_corr_preco_por_kg5","ln_preco_por_kg6","resid_preco_por_kg6","ln_corr_preco_por_kg6","preco_corr_preco_por_kg6","ln_preco_com_reforma11","resid_preco_com_reforma11","ln_corr_preco_com_reforma11","preco_corr_preco_com_reforma11","ln_preco_com_reforma12","resid_preco_com_reforma12","ln_corr_preco_com_reforma12","preco_corr_preco_com_reforma12","ln_preco_com_reforma13","resid_preco_com_reforma13","ln_corr_preco_com_reforma13","preco_corr_preco_com_reforma13","ln_preco_com_reforma14","resid_preco_com_reforma14","ln_corr_preco_com_reforma14","preco_corr_preco_com_reforma14","ln_preco_com_reforma15","resid_preco_com_reforma15","ln_corr_preco_com_reforma15","preco_corr_preco_com_reforma15","ln_preco_com_reforma16","resid_preco_com_reforma16","ln_corr_preco_com_reforma16","preco_corr_preco_com_reforma16","ln_preco_com_reforma21","resid_preco_com_reforma21","ln_corr_preco_com_reforma21","preco_corr_preco_com_reforma21","ln_preco_com_reforma22","resid_preco_com_reforma22","ln_corr_preco_com_reforma22","preco_corr_preco_com_reforma22","ln_preco_com_reforma23","resid_preco_com_reforma23","ln_corr_preco_com_reforma23","preco_corr_preco_com_reforma23","ln_preco_com_reforma24","resid_preco_com_reforma24","ln_corr_preco_com_reforma24","preco_corr_preco_com_reforma24","ln_preco_com_reforma25","resid_preco_com_reforma25","ln_corr_preco_com_reforma25","preco_corr_preco_com_reforma25","ln_preco_com_reforma26","resid_preco_com_reforma26","ln_corr_preco_com_reforma26","preco_corr_preco_com_reforma26","lndespesa1","ln_hat1","despesa1_hat","lndespesa2","ln_hat2","despesa2_hat","lndespesa3","ln_hat3","despesa3_hat","lndespesa4","ln_hat4","despesa4_hat","lndespesa5","ln_hat5","despesa5_hat","lndespesa6","ln_hat6","despesa6_hat","gasto_total_atualhat","lndespesa","w_despesahat1","w_despesahat2","w_despesahat3","w_despesahat4","w_despesahat5","w_despesahat6"
1101,2596312.00881959,3443384.85306869,3080689.52781505,3080689.52781505,97166195.9527448,293752192.55294,1534127.23660342,2924369.09615758,2895414.94944126,2895414.94944126,57842747.7812022,16496002.7547065,578035.728394443,827314.601100942,899450.636596352,899450.636596352,6997515.34402618,8505221.01626273,247381.992994324,644034.825636082,572992.444710176,572992.444710176,2042278.50977072,9463155.42855557,548371.71868246,584915.392851706,551415.87689609,551415.87689609,22301367.5303829,126702591.417669,1259270.00832406,3391116.60004959,3593089.34306121,4301265.36881976,15852362.0048123,41646288.0144382,1216298.91469127,101638.80153644,106705.9262522,631351.011847029,181099.84806764,427891.30451757,616210.33854266,1555510935.94428,9.73445510864258,11,828.279397960824,1271.90516289227,1,1,1,1278.888671875,3,2,2,8.35639953613281,8.7730016708374,51.9075546264648,14.8894195556641,35.1797828674316,50.6627388000488,1407914.75,578035.75,1165557.25,1407914.75,578035.75,0,1283416.75,247382,463613.125,1283416.75,247382,0,15.051965713501,-0.181107103824615,14.6256885528564,2248308.25,14.8885889053345,0.148851215839386,14.7038593292236,2431112,13.625940322876,-0.15602770447731,13.3524646759033,629363.75,13.3755083084106,-0.399845272302628,12.5235891342163,274742.375,13.2792224884033,-0.677450239658356,12.8858613967896,394692.15625,15.0366697311401,-0.190679550170898,14.9189596176147,3014545.5,14.9406642913818,-0.17934875190258,14.5230960845947,2029086.125,14.8786392211914,0.150457620620728,14.6942481994629,2407858.25,13.7095394134521,-0.111623249948025,13.4363241195679,684418,13.2586278915405,-0.397132009267807,12.4034862518311,243649.5625,13.2202444076538,-0.646936357021332,12.8277015686035,372391.71875,15.0945224761963,-0.193905472755432,14.9765682220459,3193309,14.9406642913818,-0.17934875190258,14.5230960845947,2029086.125,14.8786392211914,0.150457620620728,14.6942481994629,2407858.25,13.7095394134521,-0.111623249948025,13.4363241195679,684418,13.2586278915405,-0.397132009267807,12.4034862518311,243649.5625,13.2202444076538,-0.646936357021332,12.8277015686035,372391.71875,15.2744197845459,-0.193293735384941,15.156494140625,3822801.75,14.7696027755737,14.9384927749634,3074008,14.2434720993042,14.2833700180054,1596573,13.267391204834,13.5440139770508,762237.875,12.4186887741089,13.1837100982666,531633.75,13.2147083282471,13.5807847976685,790787.6875,14.0460424423218,14.5881118774414,2165391.75,8920632,16.0038776397705,0.344595313072205,0.178975328803062,0.0854466259479523,0.0595959722995758,0.0886470451951027,0.242739722132683
1102,1531738.51542038,2114253.54869717,1891210.54226639,1891210.54226639,54225098.6955764,167470126.318318,1023901.61555667,1938963.35516836,1890727.26522111,1890727.26522111,40509954.8398789,13211817.8718782,431393.855974418,446943.976195402,433613.964787588,433613.964787588,4821127.27704027,5646728.0287022,100614.532762807,199452.649031861,177448.974816815,177448.974816815,774579.18462832,3854247.84764782,433800.426248279,674646.291059256,651946.60671804,651946.60671804,12337941.8706486,69418505.05188,906815.532890836,1732187.31234609,1802957.01774851,2158516.7325936,12344136.5398914,31625401.264507,663046.7523746,29728.27811201,96339.88493488,340040.66024391,125918.56283397,223003.96734164,332993.93409971,839802883.965213,10.1484327316284,11,600.162414112192,921.608909941648,1,1,1,1266.58166503906,3,2,2,4.48358678817749,14.5298776626587,51.2845687866211,18.9909019470215,33.6332206726074,50.2217864990234,1407914.75,431393.84375,1165557.25,1407914.75,431393.84375,0,1283416.75,100614.53125,463613.125,1283416.75,100614.53125,0,14.5642127990723,-0.320226103067398,14.4865694046021,1956307.625,14.4776639938354,0.137304082512856,14.6923122406006,2403201.25,13.0101881027222,-0.385674029588699,13.1228189468384,500227.84375,12.2033319473267,-1.33937323093414,11.5840606689453,107372.640625,13.4219436645508,-0.201039373874664,13.3622722625732,635566.6875,14.3648958206177,-0.501941502094269,14.6076974868774,2208220.25,14.4527273178101,-0.317393898963928,14.3850507736206,1767454.25,14.4524717330933,0.122018858790398,14.6658096313477,2340346.75,12.9799098968506,-0.454274952411652,13.0936717987061,485858.0625,12.0864381790161,-1.33671629428864,11.4639015197754,95215.8359375,13.3877182006836,-0.143524244427681,13.3311138153076,616068.75,14.4049386978149,-0.522072076797485,14.6484022140503,2299959.75,14.4527273178101,-0.317393898963928,14.3850507736206,1767454.25,14.4524717330933,0.122018858790398,14.6658096313477,2340346.75,12.9799098968506,-0.454274952411652,13.0936717987061,485858.0625,12.0864381790161,-1.33671629428864,11.4639015197754,95215.8359375,13.3877182006836,-0.143524244427681,13.3311138153076,616068.75,14.5849313735962,-0.521321475505829,14.8284664154053,2753728.75,14.2419137954712,14.4750528335571,1933906.875,13.8391313552856,13.6860485076904,878567.9375,12.9747772216797,13.0430860519409,461891.84375,11.5190515518188,12.9058256149292,402651.0625,12.9803400039673,13.0997629165649,488826.5,13.7176942825317,14.1325902938843,1373112,5538956,15.5273170471191,0.349146455526352,0.158616155385971,0.0833896920084953,0.0726943984627724,0.0882524624466896,0.247900873422623
1103,1263927.53630129,1830477.82979384,1573065.04520485,1573065.04520485,55390246.0682726,168232652.350921,769739.706942216,1173439.93866151,1170414.486263,1170414.486263,28701618.3344402,9907613.79985803,454258.346502804,375615.473699687,380792.836476861,380792.836476861,5759626.26949112,8845137.8589516,119823.022054525,348423.431854725,309985.261427367,309985.261427367,748952.224765817,3726730.011954,297962.177773595,475564.161901217,329547.370074686,329547.370074686,8017754.31693073,52270507.2781903,996552.539958191,2293648.42113421,2385071.90392373,2854178.95768664,14881945.4398278,36899292.5197176,662935.59810605,36193.70440835,42833.05598621,262143.39607671,86086.16751242,273726.75977049,327468.74713431,826784739.613337,9.76653957366943,11,530.725274629283,725.613893635303,1,1,2,1247.15698242188,3,2,2,5.45961093902588,6.46111869812012,39.5428161621094,12.9856004714966,41.2901000976562,49.3967666625977,430991.21875,454258.34375,1165557.25,430991.21875,454258.34375,0,260624.203125,119823.0234375,463613.125,260624.203125,119823.0234375,0,14.4200878143311,-0.535663604736328,14.2711324691772,1577153.875,13.9754505157471,-0.480541586875916,14.0744667053223,1295577,12.8363208770752,-0.65572988986969,12.8527631759644,381842.375,12.7611742019653,-0.833611071109772,12.089822769165,178050.546875,13.0722570419312,-0.595921993255615,12.9673891067505,428218.59375,14.6456546783447,-0.277170449495316,14.8324680328369,2764770,14.268536567688,-0.574441373348236,14.1280031204224,1366827.75,13.9728689193726,-0.472150504589081,14.0716400146484,1291920,12.8500108718872,-0.683906197547913,12.8640403747559,386172.875,12.6442804336548,-0.831047236919403,11.9695711135864,157876.9375,12.7054758071899,-0.872957348823547,12.6016807556152,297057.4375,14.6847400665283,-0.299243688583374,14.8712301254272,2874042.5,14.268536567688,-0.574441373348236,14.1280031204224,1366827.75,13.9728689193726,-0.472150504589081,14.0716400146484,1291920,12.8500108718872,-0.683906197547913,12.8640403747559,386172.875,12.6442804336548,-0.831047236919403,11.9695711135864,157876.9375,12.7054758071899,-0.872957348823547,12.6016807556152,297057.4375,14.8642950057983,-0.298967748880386,15.0508193969727,3439440.5,14.0497341156006,14.5589723587036,2103203.75,13.553807258606,13.7866277694702,971530.3125,13.026421546936,13.2185459136963,550480,11.6937713623047,12.881254196167,392877.90625,12.6047220230103,13.2976236343384,595778.125,13.8120574951172,14.248309135437,1541565.625,6155435.5,15.6328458786011,0.341682374477386,0.157832905650139,0.0894299000501633,0.0638261735439301,0.0967889502644539,0.25043973326683
1104,1128107.11838995,1070781.7816434,968498.387640886,968498.387640886,54426730.0592713,166880832.409623,675165.259308416,1320050.46405733,1299851.34905068,1299851.34905068,23886678.3374837,9269824.25754607,252125.669144236,231093.538898463,242705.153574573,242705.153574573,4496344.29852545,5411074.73506561,71814.7422613043,183547.633495026,163298.607350967,163298.607350967,426876.184920476,2124103.841409,340568.611947815,308044.298978421,285761.189251892,285761.189251892,13106539.4610636,81999058.2060664,905767.460784676,2235417.46645504,2337299.38140175,2799857.65412736,12334394.84255,34008680.475518,473303.07556055,25144.28950493,35984.21251615,244085.73190515,67639.29089966,159743.77934675,247893.0130633,428235364.830153,9.14188194274902,11,541.979869296372,741.001309023304,1,1,2,904.780456542969,2,1,1,5.31251335144043,7.60278463363647,51.5707054138184,14.2909049987793,33.7508430480957,52.3751106262207,665156.4375,252125.671875,1165557.25,665156.4375,252125.671875,0,522849.625,71814.7421875,463613.125,522849.625,71814.7421875,0,13.8838996887207,-0.939584910869598,13.8672103881836,1053059.625,14.0931806564331,-0.217831075191498,14.3371772766113,1684833.5,12.3505783081055,-1.02054953575134,12.487943649292,265121.53125,12.1202297210693,-1.40982007980347,11.5136137008667,100068.84375,12.6379985809326,-0.841358959674835,12.7219524383545,335022.3125,14.6199388504028,-0.119486734271049,14.9901523590088,3236983.25,13.783501625061,-0.928486526012421,13.7739582061768,959299.125,14.0777606964111,-0.222532466053963,14.3212585449219,1658225.375,12.3996028900146,-1.01831090450287,12.5296363830566,276408.84375,12.0033359527588,-1.40729999542236,11.3933181762695,88726.8828125,12.5629119873047,-0.831478834152222,12.6431589126587,309637.9375,14.6645069122314,-0.13934063911438,15.0311336517334,3372394.75,13.783501625061,-0.928486526012421,13.7739582061768,959299.125,14.0777606964111,-0.222532466053963,14.3212585449219,1658225.375,12.3996028900146,-1.01831090450287,12.5296363830566,276408.84375,12.0033359527588,-1.40729999542236,11.3933181762695,88726.8828125,12.5629119873047,-0.831478834152222,12.6431589126587,309637.9375,14.8450794219971,-0.138038381934166,15.2117490768433,4039975,13.9360513687134,14.6377534866333,2275598,13.4227123260498,13.8126554489136,997148.9375,12.4376831054688,13.1607608795166,519572.09375,11.1818447113037,12.9594974517822,424852.5625,12.7383718490601,13.2101573944092,545881.625,13.7165374755859,14.1082401275635,1340080.375,6103133.5,15.6243133544922,0.372857332229614,0.163383111357689,0.0851320251822472,0.0696122050285339,0.0894428417086601,0.219572514295578
1105,1268309.15714726,1665233.55903111,1453406.5769267,1453406.5769267,57363832.2645775,181847588.13544,645307.601229046,1314734.32229255,1303365.95433605,1303365.95433605,21282997.0372558,7337812.71441053,232649.795603983,366453.343743961,368619.614561341,368619.614561341,2576140.67115317,3039253.87515634,59657.8213347867,194615.783400195,173145.716919109,173145.716919109,390534.947589206,1943272.59932581,311386.82459615,256800.552588023,237714.774883839,237714.774883839,12041197.9087784,93983336.1301882,1057720.45453127,2039649.16773263,2169908.27217545,2594401.99557531,15740987.1494332,36943821.7571625,759846.368606209,30747.61626085,84868.7444123201,426935.595555951,134702.07811751,213434.45885646,394855.44553616,919517490.797685,9.05557250976562,11,524.468176092065,717.059114262131,1,1,2,1210.13610839844,3,2,2,4.04655694961548,11.1691980361938,56.1870956420898,17.7275409698486,28.0891590118408,51.9651679992676,430991.21875,232649.796875,1165557.25,430991.21875,232649.796875,0,260624.203125,59657.8203125,463613.125,260624.203125,59657.8203125,0,14.325475692749,-0.605291128158569,14.2015047073364,1471076.125,14.0891447067261,-0.291733145713806,14.2632751464844,1564810.25,12.8116264343262,-0.658207535743713,12.8502855300903,380897.46875,12.1787824630737,-1.46627485752106,11.4571590423584,94576,12.4560546875,-1.10684394836426,12.456467628479,256906.53125,14.5282888412476,-0.296737015247345,14.8129014968872,2711199,14.1894207000732,-0.629279851913452,14.0731649398804,1293891.5,14.0804605484009,-0.290166854858398,14.2536239624023,1549780.625,12.8175201416016,-0.698285281658173,12.8496618270874,380660,12.0618886947632,-1.46387588977814,11.336742401123,83846.4453125,12.3788270950317,-1.10017991065979,12.3744583129883,236678.578125,14.5901956558228,-0.300309866666794,14.8701639175415,2870979.75,14.1894207000732,-0.629279851913452,14.0731649398804,1293891.5,14.0804605484009,-0.290166854858398,14.2536239624023,1549780.625,12.8175201416016,-0.698285281658173,12.8496618270874,380660,12.0618886947632,-1.46387588977814,11.336742401123,83846.4453125,12.3788270950317,-1.10017991065979,12.3744583129883,236678.578125,14.7688665390015,-0.300887227058411,15.048900604248,3432847.25,14.0531949996948,14.5765628814697,2140527.5,13.3774824142456,13.8187475204468,1003242.1875,12.35728931427,13.1301574707031,503912.28125,10.9963808059692,12.8817090988159,393056.6875,12.6487913131714,13.1226768493652,500156.75,13.8716268539429,14.2127103805542,1487653.125,6028548.5,15.6120166778564,0.355065166950226,0.166415214538574,0.0835876613855362,0.065199226140976,0.0829647034406662,0.246768042445183
1106,402409.16913518,335596.702801259,306692.208943462,306692.208943462,30366276.4125219,95312007.9671396,779252.823425068,1256959.27774355,1252719.71561614,1252719.71561614,26169681.4779287,9378235.90695158,161051.632205908,483702.414810956,521573.339774701,521573.339774701,1956993.52464096,2518056.66220621,70920.6128338254,153374.463550073,134777.033381729,134777.033381729,680736.042416043,3063855.33253589,101291.774719366,123605.508461664,118225.927641056,118225.927641056,12073423.1532768,84966479.5369793,1176493.42722818,2817802.76919041,2921828.67821951,3499667.45021283,15460690.0906199,38563570.0619878,503333.9315883,19436.25560727,76111.04195445,296077.72613183,97760.9641950901,156107.35517826,271019.59175238,667693223.551069,8.98946952819824,11,467.08798760072,638.608239618553,1,1,2,1326.54125976562,4,2,2,3.86150312423706,15.1213808059692,58.8233184814453,19.4226856231689,31.014669418335,53.8448867797852,161051.625,161051.625,1165557.25,161051.625,161051.625,0,70920.609375,70920.609375,463613.125,70920.609375,70920.609375,0,12.7236652374268,-2.0531759262085,12.7536201477051,345801.5,14.0442056655884,-0.18013060092926,14.3748779296875,1749565.375,13.0892248153687,-0.226487725973129,13.2820053100586,586545.375,11.940637588501,-1.58725106716156,11.3361835479736,83799.6015625,11.7248506546021,-1.68548738956451,11.8778238296509,144036.765625,14.8514680862427,0.181942373514175,15.2915811538696,4375718,12.6336002349854,-2.03145933151245,12.6709852218628,318375,14.0408277511597,-0.173587366938591,14.3702030181885,1741405.375,13.164605140686,-0.198207214474678,13.3497400283813,627651.3125,11.8113775253296,-1.59712886810303,11.2034893035889,73386.0625,11.6803531646729,-1.64659428596497,11.8280439376831,137042.171875,14.8877201080322,0.152323141694069,15.3227968215942,4514463,12.6336002349854,-2.03145933151245,12.6709852218628,318375,14.0408277511597,-0.173587366938591,14.3702030181885,1741405.375,13.164605140686,-0.198207214474678,13.3497400283813,627651.3125,11.8113775253296,-1.59712886810303,11.2034893035889,73386.0625,11.6803531646729,-1.64659428596497,11.8280439376831,137042.171875,15.0681781768799,0.153539150953293,15.5033264160156,5407656.5,12.9052248001099,14.3934297561646,1782325.875,13.5660905838013,13.8222856521606,1006798.125,11.9894800186157,12.9646635055542,427053.03125,11.1693162918091,12.7841062545776,356505.96875,11.5257606506348,12.9506645202637,421116.375,13.9780492782593,14.1488084793091,1395563,5389362.5,15.4999380111694,0.33071181178093,0.186812102794647,0.0792399868369102,0.0661499351263046,0.0781384408473969,0.25894770026207
1107,747208.581195833,841200.289935325,755799.693663608,755799.693663608,30393026.7280044,94088108.9906261,387440.604869754,749931.368115501,742506.306238806,742506.306238806,9847428.09736597,3763665.3362844,199557.280473559,310072.314518373,336589.55935378,336589.55935378,2394532.06652369,2873869.57587176,105025.434413344,230865.157403499,205401.83369288,205401.83369288,887653.556362024,4089487.43426554,211354.061552561,176050.681193473,163147.501748931,163147.501748931,8130745.70806071,55030704.6081171,719089.142935627,1304821.97021738,1388537.39188264,1662879.19558065,10878138.0650414,25786933.1797862,457196.162251371,27767.12052078,51522.31841856,299781.82383027,88487.5777435,96772.8894700399,236285.60150945,396331968.690856,8.24908638000488,11,382.19494110457,522.54145902044,1,1,2,866.875122070312,2,1,1,6.0733494758606,11.2691926956177,65.5696258544922,19.3544006347656,21.1666011810303,51.6814498901367,665156.4375,199557.28125,1165557.25,665156.4375,199557.28125,0,522849.625,105025.4375,463613.125,522849.625,105025.4375,0,13.6425848007202,-1.134108543396,13.6726875305176,866907.5,13.5277366638184,-0.718022227287292,13.8369855880737,1021707.25,12.6445608139038,-0.701884329319,12.8066082000732,364618.96875,12.3495893478394,-1.21930062770844,11.7041339874268,121071.1875,12.0785274505615,-1.28759896755219,12.2757120132446,214424.296875,14.0815773010254,-0.562719881534576,14.5469188690186,2078005,13.5355319976807,-1.13164579868317,13.5707988739014,782930.25,13.5177869796753,-0.717708587646484,13.8260822296143,1010627.75,12.726619720459,-0.672076761722565,12.8758697509766,390768.15625,12.232723236084,-1.21686398983002,11.5837535858154,107339.671875,12.0024099349976,-1.28400361537933,12.190634727478,196936.125,14.1437616348267,-0.569294035434723,14.6011800765991,2193875.25,13.5355319976807,-1.13164579868317,13.5707988739014,782930.25,13.5177869796753,-0.717708587646484,13.8260822296143,1010627.75,12.726619720459,-0.672076761722565,12.8758697509766,390768.15625,12.232723236084,-1.21686398983002,11.5837535858154,107339.671875,12.0024099349976,-1.28400361537933,12.190634727478,196936.125,14.3240613937378,-0.568260788917542,14.7815265655518,2627455.75,13.5240993499756,14.5654373168945,2116845,12.8673181533813,13.7378778457642,925304.1875,12.2038564682007,12.9995203018188,442201.21875,11.561957359314,12.9011564254761,400775.375,12.2612895965576,13.0011224746704,442910.28125,13.4857406616211,14.0018005371094,1204771.625,5532808,15.5262060165405,0.382598668336868,0.167239531874657,0.0799234732985497,0.072436161339283,0.0800516232848167,0.217750489711761
1108,389994.871315458,500359.644482655,450218.168126908,450218.168126908,15258166.5266924,46067896.4470149,213742.152053571,441018.654669703,436652.135679764,436652.135679764,6898842.39239372,2123695.44831892,177729.40567026,204647.666721469,215495.390749867,215495.390749867,2337824.56377493,2756809.54712902,88372.4611640055,90782.1889586434,80767.0729690912,80767.0729690912,621085.503636076,3090474.89372387,137964.016852007,159618.083861292,142435.890704197,142435.890704197,4601300.13300992,23739753.3303769,372825.820133961,614359.048716206,647959.07563576,776026.209824422,4682736.89345096,13097142.6098764,154531.69990685,3525.46120195,11634.7970284,101798.83938747,25263.59883176,27796.18203526,77902.29755357,173081340.299113,6.89820003509521,11,372.762369033962,572.413587570878,2,1,2,1120.03771972656,3,2,1,2.28138375282288,7.52906799316406,65.8757019042969,16.3484897613525,17.9873657226562,50.4118537902832,252349.671875,177729.40625,1165557.25,252349.671875,177729.40625,0,131239.359375,88372.4609375,463613.125,131239.359375,88372.4609375,0,13.1230821609497,-0.287995040416718,14.5188007354736,2020389.25,12.9968423843384,-0.238644137978554,14.3163642883301,1650129.375,12.2290449142456,-0.447912961244583,13.0605802536011,470043.375,11.4162187576294,-0.993742108345032,11.9296922683716,151704.875,11.9805393218994,-0.409880518913269,13.1534309387207,515777.59375,13.3283348083496,-0.239530920982361,14.8701076507568,2870818.25,13.0174875259399,-0.303032904863358,14.3994121551514,1793020.5,12.986891746521,-0.237938776612282,14.3058519363403,1632873.5,12.2806949615479,-0.461107820272446,13.086838722229,482549.46875,11.2993249893188,-0.991419196128845,11.8091983795166,134483.71875,11.8666477203369,-0.446755737066269,13.0278825759888,454922.59375,13.3815832138062,-0.257559597492218,14.912914276123,2996376.5,13.0174875259399,-0.303032904863358,14.3994121551514,1793020.5,12.986891746521,-0.237938776612282,14.3058519363403,1632873.5,12.2806949615479,-0.461107820272446,13.086838722229,482549.46875,11.2993249893188,-0.991419196128845,11.8091983795166,134483.71875,11.8666477203369,-0.446755737066269,13.0278825759888,454922.59375,13.5619411468506,-0.256398290395737,15.0933895111084,3589019.25,12.8738889694214,13.5063524246216,734064.6875,12.2725257873535,12.7626161575317,348926.34375,12.0880174636841,12.1865634918213,196135.984375,11.3893156051636,11.4910335540771,97834.6015625,11.8347482681274,12.2792129516602,215176.296875,12.8288669586182,13.1851348876953,532391.75,2124529.5,14.5690612792969,0.345518708229065,0.16423699259758,0.0923197269439697,0.0460500083863735,0.101281858980656,0.250592768192291
1109,505301.561334871,203862.399615513,192211.609549169,192211.609549169,23187784.9252314,69457682.5245641,274624.655297392,293426.288355977,290521.077924792,290521.077924792,9970623.25101607,2506260.54186456,37176.0702938258,75616.3632345145,82679.8358387899,82679.8358387899,644388.797077228,786894.278638385,13500.6601770981,33751.6497622362,30028.1569308984,30028.1569308984,81550.3472902753,405788.40227118,185075.21236182,151260.994601591,138081.336463812,138081.336463812,7527733.1140226,47743627.2966598,149621.593443234,315259.708381312,334894.040858416,400525.501203957,2143272.25586513,6495799.16510641,333595.38327954,20564.12208961,28876.97356526,256695.75511277,76395.79452879,29919.91505464,151288.26119817,255768933.725402,5.79514455795288,11,331.559718167773,453.312381327401,2,1,2,766.704040527344,2,1,1,6.16439056396484,8.65628719329834,76.9482345581055,22.9007358551025,8.96892356872559,45.3508262634277,74971.828125,37176.0703125,1165557.25,74971.828125,37176.0703125,0,104125.3515625,13500.66015625,463613.125,104125.3515625,13500.66015625,0,12.2252006530762,-1.26486575603485,13.5419301986694,760651.1875,12.5893821716309,-0.716876864433289,13.8381309509277,1022878.1875,11.2334280014038,-1.55708360671997,11.9514093399048,155035.484375,10.4267845153809,-2.13577842712402,10.7876558303833,48419.3984375,11.9267616271973,-0.464543730020523,13.0987672805786,488340.0625,12.6611518859863,-0.936465561389923,14.1731729507446,1429982.75,12.1663522720337,-1.23579251766205,13.4666519165039,705492.875,12.5794315338135,-0.71630871295929,13.8274822235107,1012043.625,11.3227310180664,-1.53880488872528,12.0091419219971,164249.5,10.3098907470703,-2.13365459442139,10.6669635772705,42914.4375,11.8355979919434,-0.484496772289276,12.990140914917,438073.03125,12.7215690612793,-0.952297747135162,14.2181758880615,1495806.25,12.1663522720337,-1.23579251766205,13.4666519165039,705492.875,12.5794315338135,-0.71630871295929,13.8274822235107,1012043.625,11.3227310180664,-1.53880488872528,12.0091419219971,164249.5,10.3098907470703,-2.13365459442139,10.6669635772705,42914.4375,11.8355979919434,-0.484496772289276,12.990140914917,438073.03125,12.9005327224731,-0.952541947364807,14.3972454071045,1789139.625,13.1329107284546,13.577109336853,787886.5,12.5231609344482,12.6870832443237,323541.6875,10.5234203338623,12.1184511184692,183221.5,9.51049423217773,11.7281665802002,124016.0859375,12.1285171508789,12.250316619873,209047.46875,11.915864944458,13.0455627441406,463037.21875,2090750.625,14.5530338287354,0.376843839883804,0.154749050736427,0.0876343175768852,0.0593165382742882,0.0999867990612984,0.22146937251091
1110,1142058.62803971,837650.197436067,776455.572591567,776455.572591567,58661248.0558051,159291295.678798,874202.265399806,1204364.48109017,1192590.9943957,1192590.9943957,29217261.5057954,12206985.4142645,291611.897864868,525068.105060921,560999.420243606,560999.420243606,4147169.06241659,5073324.27543948,17762.8431457985,59476.6454424925,52344.7197891956,52344.7197891956,125541.21571688,490085.588942422,342140.975406322,331460.88826011,313524.61425063,313524.61425063,12832741.9011164,71309698.8479947,1291846.47959045,3479409.91104143,3642557.4818946,4360758.30408593,15251608.1764982,47639155.5748097,597645.0550587,52308.15583746,48763.21406695,462977.510542121,92010.07922193,51065.36278429,294115.70128947,702412271.357065,6.29424428939819,11,381.324841619419,521.351848677457,2,1,2,1175.30004882812,3,2,2,8.75237846374512,8.1592264175415,77.4669723510742,15.3954391479492,8.54442977905273,49.2124366760254,252349.671875,291611.90625,1165557.25,252349.671875,291611.90625,0,131239.359375,17762.84375,463613.125,131239.359375,17762.84375,0,13.6383562088013,-0.00719965202733874,14.7995958328247,2675363.5,14.0014629364014,0.523103535175323,15.0781116485596,3534603.25,13.1712837219238,0.231101155281067,13.7395935058594,926893.0625,10.9933385848999,-1.62392497062683,11.2995090484619,80781.96875,12.7112655639648,0.120204567909241,13.6835155487061,876345.375,15.0623731613159,1.26783180236816,16.3774700164795,12961189,13.5624942779541,0.00612409505993128,14.708568572998,2442587.75,13.9916391372681,0.524415254592896,15.0682058334351,3499763,13.2374753952026,0.230631276965141,13.7785778045654,963740.9375,10.8656063079834,-1.63248920440674,11.1681289672852,70836.453125,12.6556329727173,0.138568431138992,13.6132068634033,816846.8125,15.1081962585449,1.23996865749359,16.4104423522949,13395674,13.5624942779541,0.00612409505993128,14.708568572998,2442587.75,13.9916391372681,0.524415254592896,15.0682058334351,3499763,13.2374753952026,0.230631276965141,13.7785778045654,963740.9375,10.8656063079834,-1.63248920440674,11.1681289672852,70836.453125,12.6556329727173,0.138568431138992,13.6132068634033,816846.8125,15.2881565093994,1.24071478843689,16.5905017852783,16038486,13.9483432769775,13.8652257919312,1050971.75,13.6810674667358,13.2167615890503,549498.625,12.583179473877,12.5153865814209,272498,9.78486442565918,11.6399297714233,113542.1875,12.7429780960083,12.5236177444458,274750.25,14.0715827941895,13.5372838973999,757125.1875,3018386,14.9202327728271,0.348189979791641,0.182050481438637,0.0902793779969215,0.0376168563961983,0.0910255536437035,0.250837773084641
